Systematic Name,Standard Name,Sgd Alias,Description,gene_link
YBR107C,IML3,MCM19,Outer kinetochore protein and component of the Ctf19 complex; involved in the establishment of pericentromeric cohesion during mitosis; prevents non-disjunction of sister chromatids during meiosis II; forms a stable complex with Chl4p; required for localization of Sgo1p to pericentric sites during meiosis I; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-L and fission yeast fta1,<a href='https://www.yeastgenome.org/locus/YBR107C' target='_blank'>YBR107C</a>
YBR108W,AIM3, ,Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss,<a href='https://www.yeastgenome.org/locus/YBR108W' target='_blank'>YBR108W</a>
YBR109C,CMD1,calmodulin|CaM,"Calmodulin; Ca2+ binding protein that regulates Ca2+ independent processes (mitosis, bud growth, actin organization, endocytosis, etc.) and Ca2+ dependent processes (stress-activated pathways), targets include Nuf1p, Myo2p and calcineurin; binds to the Hog1p MAPK in response to hyperosmotic stress; potentiates membrane tubulation and constriction mediated by the Rvs161p-Rvs167p complex; human CALM1 or CALM2 functionally complement repression induced inviability",<a href='https://www.yeastgenome.org/locus/YBR109C' target='_blank'>YBR109C</a>
YBR109W-A, , ,Putative protein of unknown function; questionable ORF from MIPS,<a href='https://www.yeastgenome.org/locus/YBR109W-A' target='_blank'>YBR109W-A</a>
YBR110W,ALG1,"chitobiosyldiphosphodolichol beta-1,4 mannosyltransferase",Mannosyltransferase; involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER); essential for viability; human homolog ALG1 complements yeast null mutant,<a href='https://www.yeastgenome.org/locus/YBR110W' target='_blank'>YBR110W</a>
YBR111C,YSA1,ADP-ribose diphosphatase|RMA2,Nudix hydrolase family member with ADP-ribose pyrophosphatase activity; shown to metabolize O-acetyl-ADP-ribose to AMP and acetylated ribose 5'-phosphate,<a href='https://www.yeastgenome.org/locus/YBR111C' target='_blank'>YBR111C</a>
YBR111W-A,SUS1, ,Component of both the SAGA histone acetylase and TREX-2 complexes; interacts with RNA polymerase II; involved in mRNA export coupled transcription activation and elongation; involved in post-transcriptional tethering of active genes to the nuclear periphery and to non-nascent mRNP,<a href='https://www.yeastgenome.org/locus/YBR111W-A' target='_blank'>YBR111W-A</a>
YBR112C,CYC8,CRT8|[OCT]|[OCT1+]|SSN6|transcription regulator CYC8,General transcriptional co-repressor; acts together with Tup1p; also acts as part of a transcriptional co-activator complex that recruits the SWI/SNF and SAGA complexes to promoters; can form the prion [OCT+],<a href='https://www.yeastgenome.org/locus/YBR112C' target='_blank'>YBR112C</a>
YBR113W, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene CYC8",<a href='https://www.yeastgenome.org/locus/YBR113W' target='_blank'>YBR113W</a>
YBR114W,RAD16,DNA repair protein RAD16|PSO5,Nucleotide excision repair (NER) protein; binds damaged DNA during NER; binds DNA in an ATP-dependent manner (with Rad7p) during NER; required for NER of non-transcribed chromatin; subunit of Nucleotide Excision Repair Factor 4 (NEF4) and the Elongin-Cullin-Socs (ECS) ligase complex,<a href='https://www.yeastgenome.org/locus/YBR114W' target='_blank'>YBR114W</a>
YBR115C,LYS2,L-aminoadipate-semialdehyde dehydrogenase,"Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde, which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p",<a href='https://www.yeastgenome.org/locus/YBR115C' target='_blank'>YBR115C</a>
YBR116C, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene TKL2",<a href='https://www.yeastgenome.org/locus/YBR116C' target='_blank'>YBR116C</a>
YBR117C,TKL2,transketolase TKL2,"Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL2 has a paralog, TKL1, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YBR117C' target='_blank'>YBR117C</a>
YBR118W,TEF2,eEF1A|EF-1 alpha|translation elongation factor EF-1 alpha,"Translational elongation factor EF-1 alpha; GTP-bound active form, binds to and delivers aminoacylated tRNA to the A-site of ribosomes for elongation of nascent polypeptides; moonlighting function as an actin binding and bundling protein; association with GTPase Rho1p on the vacuolar membrane may facilitate F-actin remodeling; involved in tRNA re-export from the nucleus; Tef2p-RFP levels increase during replicative aging",<a href='https://www.yeastgenome.org/locus/YBR118W' target='_blank'>YBR118W</a>
YBR119W,MUD1,U1A|U1-A,U1 snRNP A protein; homolog of human U1-A; involved in nuclear mRNA splicing,<a href='https://www.yeastgenome.org/locus/YBR119W' target='_blank'>YBR119W</a>
YBR120C,CBP6, ,"Mitochondrial protein required for translation of the COB mRNA; forms a complex with Cbp3p that binds to mt ribosomes near the polypeptide tunnel exit and promotes efficient translation of the COB mRNA; Cbp3p-Cbp6p complex also interacts with newly synthesized cytochrome b (Cobp) and Cbp4p to promote assembly of Cobp into the cytochrome bc1 complex; Cbp3p-Cbp6p complex is sequestered if assembly of Complex III is blocked, downregulating COB mRNA translation",<a href='https://www.yeastgenome.org/locus/YBR120C' target='_blank'>YBR120C</a>
YBR121C,GRS1,glycine--tRNA ligase,"Cytoplasmic and mitochondrial glycyl-tRNA synthase; ligates glycine to the cognate anticodon-bearing tRNA; transcription termination factor that may interact with the 3'-end of pre-mRNA to promote 3'-end formation; GRS1 has a paralog, GRS2, that arose from the whole genome duplication; human homolog GARS implicated in Charcot-Marie-Tooth disease, can complement yeast null mutant",<a href='https://www.yeastgenome.org/locus/YBR121C' target='_blank'>YBR121C</a>
YBR121C-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely contained within the verified gene GRS1; identified by expression profiling and mass spectrometry",<a href='https://www.yeastgenome.org/locus/YBR121C-A' target='_blank'>YBR121C-A</a>
YBR122C,MRPL36,bL31m|mitochondrial 54S ribosomal protein YmL36|YmL36,Mitochondrial ribosomal protein of the large subunit; overproduction suppresses mutations in the COX2 leader peptide-encoding region,<a href='https://www.yeastgenome.org/locus/YBR122C' target='_blank'>YBR122C</a>
YBR123C,TFC1,tau 95|transcription factor TFIIIC subunit TFC1,Subunit of RNA polymerase III transcription initiation factor complex; one of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA globular domain of TFIIIC that binds DNA at the BoxA promoter sites of tRNA and similar genes; human homolog is TFIIIC-63,<a href='https://www.yeastgenome.org/locus/YBR123C' target='_blank'>YBR123C</a>
YBR124W, , ,Putative protein of unknown function,<a href='https://www.yeastgenome.org/locus/YBR124W' target='_blank'>YBR124W</a>
YBR125C,PTC4,GCT1|type 2C protein phosphatase PTC4,Cytoplasmic type 2C protein phosphatase (PP2C); identified as a high-copy number suppressor of cnb1 mpk1 synthetic lethality; overexpression decreases high-osmolarity induced Hog1p phosphorylation and kinase activity,<a href='https://www.yeastgenome.org/locus/YBR125C' target='_blank'>YBR125C</a>
YBR126C,TPS1,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) TPS1|BYP1|CIF1|FDP1|GGS1|GLC6|TSS1","Synthase subunit of trehalose-6-P synthase/phosphatase complex; synthesizes the storage carbohydrate trehalose, which is critically important for survival of long-term desiccation; also found in a monomeric form; expression is induced by the stress response and repressed by the Ras-cAMP pathway; protein abundance increases in response to DNA replication stress and in response to prolonged exposure to boric acid",<a href='https://www.yeastgenome.org/locus/YBR126C' target='_blank'>YBR126C</a>
YBR126W-A,MEO1, ,"Putative protein of unknown function; identified by gene-trapping, microarray analysis, and genome-wide homology searches; mRNA identified as translated by ribosome profiling data; SWAT-GFP, seamless-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; partially overlaps the dubious ORF YBR126W-B",<a href='https://www.yeastgenome.org/locus/YBR126W-A' target='_blank'>YBR126W-A</a>
YBR126W-B, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF YBR126W-A; identified by SAGE",<a href='https://www.yeastgenome.org/locus/YBR126W-B' target='_blank'>YBR126W-B</a>
YBR127C,VMA2,ATPSV|H(+)-transporting V1 sector ATPase subunit B|VAT2,"Subunit B of V1 peripheral membrane domain of vacuolar H+-ATPase; electrogenic proton pump found throughout the endomembrane system; contains nucleotide binding sites; also detected in the cytoplasm; protein abundance increases in response to DNA replication stress; human homolog ATP6V1B1, implicated in autosomal-recessive distal renal tubular acidosis (RTA) with sensorineural deafness, complements yeast null mutant",<a href='https://www.yeastgenome.org/locus/YBR127C' target='_blank'>YBR127C</a>
YBR128C,ATG14,APG14|CVT12,"Autophagy-specific subunit of phosphatidylinositol 3-kinase complex I; Atg14p targets complex I to the phagophore assembly site (PAS); required for localizing additional ATG proteins to the PAS; required for overflow degradation of misfolded proteins when ERAD is saturated; homolog of human Barkor; other members are Vps34, Vps15, and Vps30p",<a href='https://www.yeastgenome.org/locus/YBR128C' target='_blank'>YBR128C</a>
YBR129C,OPY1, ,"Protein of unknown function; overproduction blocks cell cycle arrest in the presence of mating pheromone; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",<a href='https://www.yeastgenome.org/locus/YBR129C' target='_blank'>YBR129C</a>
YBR130C,SHE3, ,Protein adaptor between Myo4p and the She2p-mRNA complex; part of the mRNA localization machinery that restricts accumulation of certain proteins to the bud; also required for cortical ER inheritance,<a href='https://www.yeastgenome.org/locus/YBR130C' target='_blank'>YBR130C</a>
YBR131C-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF YBR131W; identified by gene-trapping, microarray analysis, and genome-wide homology searches",<a href='https://www.yeastgenome.org/locus/YBR131C-A' target='_blank'>YBR131C-A</a>
YBR131W,CCZ1,CVT16,"Subunit of a heterodimeric guanine nucleotide exchange factor (GEF); subunit of the Mon1-Ccz1 GEF complex, which stimulates nucleotide exchange and activation of Ypt7p, a Rab family GTPase involved in membrane tethering and fusion events at the late endosome and vacuole; GEF activity is stimulated by membrane association and anionic phospholipids; involved in localizing Ypt7p to the vacuolar membrane; required for macroautophagy, the CVT pathway and mitophagy",<a href='https://www.yeastgenome.org/locus/YBR131W' target='_blank'>YBR131W</a>
YBR132C,AGP2, ,Plasma membrane regulator of polyamine and carnitine transport; has similarity to transporters but lacks transport activity; may act as a sensor that transduces environmental signals; has a positive or negative regulatory effect on transcription of many transporter genes,<a href='https://www.yeastgenome.org/locus/YBR132C' target='_blank'>YBR132C</a>
YBR133C,HSL7,protein arginine N-methyltransferase,"Protein arginine N-methyltransferase; exhibits septin and Hsl1p-dependent localization to the bud neck in budded cells and periodic Hsl1p-dependent phosphorylation; required with Hsl1p, and Elm1p for the mother-bud neck recruitment, phosphorylation, and degradation of Swe1p; responsible for symmetric dimethylation of histone H4 on Arg3; relocalizes away from bud neck upon DNA replication stress; human homolog PRMT5 can complement yeast hsl7 mutant",<a href='https://www.yeastgenome.org/locus/YBR133C' target='_blank'>YBR133C</a>
YBR134W, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",<a href='https://www.yeastgenome.org/locus/YBR134W' target='_blank'>YBR134W</a>
YBR135W,CKS1,cyclin-dependent protein kinase regulatory subunit CKS1,"Cyclin-dependent protein kinase regulatory subunit and adaptor; interacts with Cdc28p (aka Cdk1p); required for G1/S and G2/M phase transitions and budding; mediates phosphorylation and degradation of Sic1p; modulates proteolysis of M-phase targets through interactions with the proteasome; role in transcriptional regulation, recruiting proteasomal subunits to target gene promoters; human homologs CKS1B and CKS2 can each complement yeast cks1 null mutant",<a href='https://www.yeastgenome.org/locus/YBR135W' target='_blank'>YBR135W</a>
